,Hava,Seyis,Unnamed: 2,TR
410,Safiye,Yener,,TR
412,Re,Is,,TR
413,Engin,Somuncu,,TR
415,Mehmet,Mutlu,,TR
418,Melek,Kum,,TR
420,Cany,Cany,,TR
426,Demet,Ceylan,,TR
427,Zehra,Karaman,,TR
430,Mustafa,Kaykusuz,,TR
431,Yasar,Sontur,,TR
436,Kadriye,Erbas,,TR
438,Arda,Bright,,TR
442,Mustafa,Tamar,,TR
443,Muhammed,Acar,,TR
446,Omer,Arslan,,TR
448,Osman,Erdogan,,TR
456,Ali,Algun,,TR
458,Salih,Cinar,,TR
462,Mehmet,Arslan,,TR
465,Cumhur,Ozdemir,,TR
468,Ismail,Alakel,,TR
470,Ali,Samat,,TR
473,Ali,Dursun,,TR
480,Erol,Ince,,TR
482,Ali,Degerli,,TR
485,Abdurrahman,Tekin,,TR
486,Samet,Korkmaz,,TR
488,Buket,Sahin,,TR
489,Erdem,Cici,,TR
490,Bekir,Elen,,TR
493,Hasan,Temiz,,TR
494,Can,Ekinci,,TR
498,Bulut,Babacan,,TR
500,Osman,Bora,,TR
512,Ali,Uysal,,TR
516,Zeliha,Kaba,,TR
519,Osman,Tos,,TR
522,Emel,Ayten,,TR
523,Aynur,Karahan,,TR
525,Zeynel,Demirok,,TR
529,Hasim,Sirtlan,,TR
530,Akrep,Kiral,,TR
531,Huseyin,Akyel,,TR
535,Salman,Ok,,TR
536,Erkan,Can,,TR
537,Fatma,Ilhan,,TR
538,Ercan,Duman,,TR
539,Kerem,Kaplan,,TR
541,Muzaffer,Ersoy,,TR
542,Ramazan,Salhan,,TR
545,Sercan,Ergin,,TR
550,Musa,Arslan,,TR
554,Arzu,Demir,,TR
559,Kadir,Baba,,TR
562,Semra,Kaya,,TR
563,Metehan,Tosun,,TR
567,Aslan,Kaplan,,TR
570,Resul,Karatay,,TR
576,Abdulvahap,Demir,,TR
578,Mizbah,Demir,,TR
582,Necdat,Kiraz,,TR
583,Kero,Pak,,TR
584,Mehmet,Ilkutlu,,TR
588,Ekrem,Ekrem,,TR
589,Murat,Kilikli,,TR
591,Samet,Damar,,TR
595,Kadir,Tercan,,TR
596,Selma,Akyol,,TR
599,Ayfer,Parlak,,TR
604,Meryem,Meydan,,TR
605,Nuri,Kaya,,TR
606,Melis,Kara,,TR
610,Saadet,Demir,,TR
611,Kadir,Candan,,TR
615,Ahmet,Gani,,TR
616,Aynur,Ayaz,,TR
617,Hayrullah,Deveci,,TR
618,Hasan,Ortabayram,,TR
624,Haman,Mehamad,,TR
625,Irfan,Kaya,,TR
626,Bekir,Tapar,,TR
627,Safiye,Sondu,,TR
628,Faruk,Demirer,,TR
630,Muhittin,Bayhan,,TR
631,Duygu,Budak,,TR
634,Mehmet,Tekin,,TR
636,Vedat,Duman,,TR
639,Turker,De,,TR
640,Selim,Ardahan,,TR
642,Fatih,Kartal,,TR
643,Harun,Temel,,TR
648,Ekrem,Ordu,,TR
649,Ramazan,Demir,,TR
651,Mustafa,Uysal,,TR
653,Refik,Atay,,TR
656,Emrah,Tasdemir,,TR
657,Tahsin,Cetin,,TR
658,Ahmet,Topa,,TR
661,Mustafa,Kangur,,TR
662,Arife,Meydan,,TR
666,Yusuf,Yildiz,,TR
668,Ahmet,Ceylan,,TR
674,Burcu,Akverdi,,TR
676,Nurcan,Kaya,,TR
677,Emre,Kalay,,TR
684,Bugra,Firat,,TR
689,Yasin,Evyapan,,TR
691,Ecelin,Olacam,,TR
693,Sefa,Nuhoglu,,TR
694,Nermin,Bayram,,TR
700,Haluk,Akan,,TR
702,Ramazan,Bilen,,TR
703,Veysiye,Kaynak,,TR
704,Ibo,Can,,TR
705,Hasan,Amak,,TR
707,Nursel,Baydemir,,TR
708,Hasan,Aksin,,TR
710,Leyla,Ozdemir,,TR
712,Ufuk,Ogan,,TR
714,Ibrahim,Aksoy,,TR
715,Necip,Erkan,,TR
717,Fatih,Tiraki,,TR
722,Seyati,Korman,,TR
726,Sevim,Emre,,TR
729,Don,Buyukkara,,TR
733,Kenan,Polat,,TR
734,Mahsum,Atmaca,,TR
737,Ramazan,Can,,TR
740,Tamer,Arslan,,TR
741,Dadoo,Mercan,,TR
743,Bilal,Yalcin,,TR
744,Servet,Akansel,,TR
745,Abdullah,Beyzade,,TR
746,Erdal,Caglar,,TR
748,Mustafa,Bahcesular,,TR
750,Muhammet,Tekce,,TR
753,Adem,Bal,,TR
754,Bekir,Akbey,,TR
755,Tufan,Ay,,TR
756,Fatih,Demir,,TR
758,Melike,Uzun,,TR
759,Mustafa,Sayar,,TR
761,Akar,Akar,,TR
763,Aslan,Uncu,,TR
767,Mehmet,Keklik,,TR
768,Mehmet,Yakar,,TR
769,Metin,Kuytul,,TR
771,Hanifi,Dirilik,,TR
772,Mustafa,Dinler,,TR
773,Sedatserap,Demiray,,TR
778,Yusuf,Ceyhan,,TR
781,Bilal,Tarakcl,,TR
782,Hayrullah,Ardic,,TR
786,Dogan,Basarir,,TR
787,Mehmet,Aksakal,,TR
788,Ramazan,Caglayan,,TR
790,Suleyman,Ceren,,TR
791,Bulent,Turk,,TR
792,Ahmet,Keklik,,TR
796,Resull,Aksut,,TR
797,Meral,Eren,,TR
800,Hakan,Akyol,,TR
801,Muhammed,Aksu,,TR
807,Mehmet,Gezmis,,TR
808,Sezer,Aydemir,,TR
810,Adem,Ari,,TR
812,Ugur,Aytekin,,TR
813,Tevfik,Ipekci,,TR
815,Jale,Bunsuz,,TR
816,Serdar,Bircan,,TR
821,Ahmet,Akdeniz,,TR
825,Aziz,Ceyhan,,TR
826,Fatih,Yaman,,TR
829,Abdullah,Ege,,TR
830,Eren,Meral,,TR
831,Mehmet,Yildirim,,TR
833,Murat,Tosun,,TR
834,Mehmet,Oldaz,,TR
836,Saniye,Kurtulus,,TR
837,Ercan,Kayacan,,TR
839,Kutbettin,Duman,,TR
843,Humayun,Uzer,,TR
844,Sebosebo,Meral,,TR
847,Ahmet,Barut,,TR
849,Anahit,Azoyan,,TR
850,Cigdem,Kose,,TR
851,Ay,Han,,TR
858,Adem,Erdogan,,TR
860,Fatma,Dilcan,,TR
863,Mehmet,Ezer,,TR
869,Ferhat,Ayhan,,TR
870,Ahmetnese,Inci,,TR
871,Meryem,Kirkit,,TR
872,Burak,Ongulu,,TR
875,Muhammet,Salman,,TR
877,Ceren,Akyol,,TR
879,Havva,Kocaer,,TR
881,Recep,Teke,,TR
883,Davut,Mercan,,TR
886,Nihat,Caliskan,,TR
888,Melek,Sarcan,,TR
889,Acar,Ali,,TR
891,Kadir,Sahin,,TR
893,Haci,Levent,,TR
895,Kubilay,Yolay,,TR
897,Ecrin,Zengin,,TR
899,Erdal,Yilmaz,,TR
904,Hasan,Atak,,TR
905,Erhan,Caylan,,TR
908,Orhan,Dogan,,TR
909,Melike,Vural,,TR
913,Melisa,Nehir,,TR
914,Hurdal,Savci,,TR
916,Muammer,Tek,,TR
917,Deniz,Kaya,,TR
926,Selim,Dokan,,TR
929,Bekir,Tos,,TR
930,Mehmet,Ince,,TR
931,Ismail,Filik,,TR
936,Abdulkerim,Altay,,TR
937,Buket,Aslan,,TR
938,Sirin,Atak,,TR
939,Meral,Sumer,,TR
940,Belma,Demirci,,TR
942,Seven,Devrim,,TR
944,Ramazan,Koyuncu,,TR
945,Ahmet,Deniz,,TR
951,Efe,Karabay,,TR
956,Cakir,Cenk,,TR
958,Ekrem,Hisar,,TR
962,Ali,Alparslan,,TR
963,Tarkan,Tarkan,,TR
964,Adem,Kont,,TR
966,Emin,Asilsoy,,TR
971,Ahmet,Bozkurt,,TR
973,Sezayi,Duran,,TR
975,Kadir,Aypan,,TR
976,Kezban,Ergul,,TR
977,Melek,Arican,,TR
979,Hayriye,Topuz,,TR
980,Mikail,Muhammetcanov,,TR
982,Bzage,Ylcn,,TR
984,Levent,Levent,,TR
985,Batuhan,Bilgin,,TR
987,Bedriye,Altunay,,TR
994,Nevzat,Sahin,,TR
998,Arf,Mgl,,TR
1000,Ramazan,Zengin,,TR
1001,Hatice,Deniz,,TR
1004,Bayram,Usta,,TR
1008,Canberk,Okutay,,TR
1016,Mustafa,Uzunal,,TR
1017,Abdullah,Ince,,TR
1018,Elmas,Kocyigit,,TR
1020,Emel,Duban,,TR
1024,Ferhat,Durmaz,,TR
1026,Yakup,Sekmen,,TR
1027,Fatma,Tura,,TR
1029,Yusuf,Bey,,TR
1034,Mehmet,Sayan,,TR
1035,Murat,Bayram,,TR
1036,Ibrahim,Yavuz,,TR
1038,Fatih,Demir,,TR
1039,Onur,Nizamli,,TR
1040,Cemal,Kartal,,TR
1044,Beytullah,Kuzyaka,,TR
1045,Selam,Elmas,,TR
1046,Remziye,Arslan,,TR
1047,Hasan,Yaman,,TR
1049,Mekin,Ceber,,TR
1050,Mehmet,Akyuz,,TR
1053,Mustafa,Kahraman,,TR
1054,Ali,Gican,,TR
1055,Gazi,Bulut,,TR
1056,Ali,Kandemir,,TR
1057,Yavuz,Gican,,TR
1060,Ata,Mehmetata,,TR
1064,Hayriye,Karpuz,,TR
1067,Ervin,Yurtsever,,TR
1069,Osman,Can,,TR
1071,Hakan,Aybay,,TR
1074,Halis,Arda,,TR
1077,Kaplan,Adana,,TR
1078,Dilek,Bendidarian,,TR
1081,Sabriye,Karakaya,,TR
1090,Serhat,Karadeniz,,TR
1092,Ozlem,Akmaz,,TR
1096,Berk,Can,,TR
1097,Nesrin,Canbazoglu,,TR
1101,Recai,Bircan,,TR
1105,Mustafa,Eksi,,TR
1106,Hasanhuseyin,Baydemir,,TR
1107,Hikmet,Bek,,TR
1112,Buse,Aktas,,TR
1113,Nevzat,Tuncel,,TR
1114,Kamil,Ucl,,TR
1118,Kenan,Deni,,TR
1119,Sinan,Ates,,TR
1122,Ayhan,Ufuk,,TR
1124,Mehmet,Kaya,,TR
1125,Ertan,Findik,,TR
1128,Sami,Aslan,,TR
1131,Mustafa,Girgin,,TR
1132,Ahmet,Bilgin,,TR
1133,Seyfettin,Gider,,TR
1134,Veli,Kutlu,,TR
1135,Ibrahim,Solmaz,,TR
1136,Bayram,Ummu,,TR
1138,Kaan,Mert,,TR
1140,Dilek,Sanal,,TR
1141,Sahsuvar,Senduran,,TR
1142,Hasan,Yolcu,,TR
1144,Koray,Toprak,,TR
1150,Bektas,Horuz,,TR
1161,Yok,Yok,,TR
1163,Sevda,Cicek,,TR
1165,Ali,Tepeyurt,,TR
1168,Neslihan,Kozan,,TR
1170,Cengiz,Durdu,,TR
1172,Adem,Bulut,,TR
1174,Niyazi,Boztepe,,TR
1175,Nermin,Derinkol,,TR
1179,Cavit,Caglayan,,TR
1180,Emin,Baba,,TR
1181,Ahmet,Eyin,,TR
1183,Hakan,Baycan,,TR
1185,Necmiye,Arslan,,TR
1186,Figen,Erdogan,,TR
1188,Fahri,Seven,,TR
1189,Mahmut,Elek,,TR
1190,Kazim,Soylu,,TR
1193,Erdal,Aytemur,,TR
1199,Kadriye,Karaduman,,TR
1201,Duran,Yurtoglu,,TR
1203,Kenan,Yildiz,,TR
1204,Elif,Tasdemir,,TR
1206,Mesut,Tunahan,,TR
1216,Sukran,Kartal,,TR
1217,Aysel,Ulu,,TR
1226,Duran,Hanedan,,TR
1228,Zeliha,Aksac,,TR
1229,Murat,Aslan,,TR
1230,Sevda,Olcay,,TR
1231,Idil,Abanoz,,TR
1232,Tuna,Ertan,,TR
1234,Fatih,Ay,,TR
1235,Mustafa,Macit,,TR
1236,Bilal,Altay,,TR
1237,Behrul,Kanmaz,,TR
1238,Sinan,Karaca,,TR
1239,Emrah,Dudukcu,,TR
1240,Mehmet,Trln,,TR
1243,Ahmet,Giray,,TR
1244,Nimetin,Farsak,,TR
1246,Emel,Bolat,,TR
1249,Necla,Atik,,TR
1256,Alaaddin,Iyem,,TR
1258,Mehmet,Kara,,TR
1261,Yeter,Baycan,,TR
1262,Zeynep,Guler,,TR
1265,Ozgur,Filiz,,TR
1268,Osman,Nuri,,TR
1269,Tamer,Kerti,,TR
1270,Ufuk,Ispir,,TR
1271,Levent,Levent,,TR
1273,Leyla,Koc,,TR
1274,Semih,Pirpir,,TR
1278,Abdullah,Bayrak,,TR
1279,Murat,Yildiz,,TR
1281,Hasan,Yaman,,TR
1284,Osman,Dursun,,TR
1286,Muhammed,Demirci,,TR
1288,Suleyman,Say,,TR
1293,Ercan,Bayram,,TR
1294,Sabiha,Demir,,TR
1296,Meryem,Diner,,TR
1302,Meryem,Alkan,,TR
1303,Ahmet,Yildiz,,TR
1309,Koray,Zengin,,TR
1310,Sinan,Yeniyol,,TR
1312,Dursun,Kaya,,TR
1313,Samet,Macar,,TR
1318,Hilmi,Demir,,TR
1319,Bedir,Akpinar,,TR
1320,Ali,Teymir,,TR
1322,Kadir,Tirit,,TR
1325,Halil,Ozkan,,TR
1327,Tolga,Tolgahan,,TR
1329,Havva,Ulku,,TR
1334,Sevim,Tahta,,TR
1338,Guluzar,Copur,,TR
1341,Erdem,Karabul,,TR
1342,Bilal,Cebel,,TR
1344,Ahmet,Mol,,TR
1345,Nur,Bulut,,TR
1346,Rahmi,Hindi,,TR
1347,Hasan,Eke,,TR
1348,Sedat,Ortatepe,,TR
1349,Zehra,Atalay,,TR
1350,Semih,Diken,,TR
1353,Eyup,Kockaya,,TR
1356,Ferhat,Yalcin,,TR
1359,Elena,Blanovski,,TR
1361,Sadiye,Celik,,TR
1363,Kirli,Eker,,TR
1364,Mustafa,Metin,,TR
1365,Ecrin,Ecrin,,TR
1366,Mustafa,Elma,,TR
1368,Mehmet,Deniz,,TR
1371,Mustafa,Akdeniz,,TR
1374,Aydin,Donat,,TR
1376,Muzaffer,Cikla,,TR
1377,Umut,Umut,,TR
1379,Sitki,Duran,,TR
1380,Abedin,Ztajer,,TR
1384,Shiro,Dashkipa,,TR
1385,Cigdem,Ozkara,,TR
1386,Ahmet,Can,,TR
1387,Lami,Baba,,TR
1390,Mehmet,Tezcan,,TR
1394,Bahattin,Karagoz,,TR
1395,Arif,Keserci,,TR
1396,Philippe,Barbe,,TR
1400,Hatice,Memis,,TR
1401,Ersin,Seyhan,,TR
1402,Refika,Zorlu,,TR
1403,Aras,Oner,,TR
1405,Nevin,Duvan,,TR
1410,Metin,Vural,,TR
1413,Selahittin,Cihan,,TR
1414,Halil,Yilmaz,,TR
1416,Mehtap,Pinar,,TR
1417,Hasan,Babilli,,TR
1418,Yusuf,Karatepe,,TR
1419,Metin,Bayrak,,TR
1423,Birol,Bilginoglu,,TR
1424,Bayram,Kablan,,TR
1427,Guler,Erdem,,TR
1431,Mehmet,Bostaner,,TR
1437,Asiye,Yilmaz,,TR
1438,Sevil,Turhan,,TR
1441,Ibrahim,Karadag,,TR
1443,Remzi,Midilli,,TR
1447,Erdem,Kaya,,TR
1451,Kubra,Sacil,,TR
1454,Yasin,Kurt,,TR
1456,Mehmet,Kpkrn,,TR
1459,Elif,Bertal,,TR
1461,Sefa,Can,,TR
1463,Faruk,Olmus,,TR
1469,Nuriye,Alyaz,,TR
1475,Ismail,Sengul,,TR
1479,Yilmaz,Tekin,,TR
1481,Serkan,Yorulmaz,,TR
1482,Yasin,Ay,,TR
1486,Adem,Erturk,,TR
1493,Zafer,Borklu,,TR
1498,Hidir,Aydin,,TR
1501,Sadettin,Sondac,,TR
1507,Zekeriya,Parlak,,TR
1510,Asya,Cetinkol,,TR
1513,Mehmet,Ka,,TR
1515,Deniz,Akkaya,,TR
1516,Turan,Sutgan,,TR
1518,Cengiz,Memi,,TR
1519,Bahar,Dursun,,TR
1521,Muslum,Mungan,,TR
1522,Murat,Demireller,,TR
1523,Erhan,Keskin,,TR
1528,Akif,Eycm,,TR
1530,Neval,Aslan,,TR
1531,Leyla,Dombak,,TR
1538,Selahattin,Aslan,,TR
1542,Ati,Masiha,,TR
1544,Ayfer,Cerlek,,TR
1545,Buse,Baysal,,TR
1547,Ecir,Ocak,,TR
1548,Kerem,Tekik,,TR
1549,Kemal,Kaya,,TR
1550,Mehmet,Erol,,TR
1552,Osman,Kurt,,TR
1553,Lutfu,Yaman,,TR
1556,Ali,Guru,,TR
1559,Zulal,Umud,,TR
1561,Abdulmutalip,Ilgi,,TR
1568,Efe,Efe,,TR
1570,Seyfullah,Kaymak,,TR
1573,Hatice,Balta,,TR
1577,Metin,Cihan,,TR
1579,Sabri,Inal,,TR
1588,Teyfik,Atici,,TR
1589,Aynur,Temiz,,TR
1591,Gomis,Fafetemi,,TR
1597,Zabiullah,Lakanwal,,TR
1598,Erdem,Karakaya,,TR
1599,Mami,Can,,TR
1601,Emin,Aslan,,TR
1602,Harun,Polat,,TR
1603,Yusuf,Bek,,TR
1607,Kemal,Ulger,,TR
1609,Ceren,Salur,,TR
1612,Hilal,Erkovaer,,TR
1616,Sevim,Sahan,,TR
1619,Dilek,Cankurt,,TR
1621,Erkan,Zeybek,,TR
1626,Emin,Maral,,TR
1627,Sami,Bulun,,TR
1628,Erhan,Karadeniz,,TR
1629,Kamuran,Hayta,,TR
1632,Ufuk,Caner,,TR
1633,Emre,Filiz,,TR
1636,Nuri,Sari,,TR
1638,Emine,Cetinaslan,,TR
1640,Kadriye,Kara,,TR
1643,Cakir,Polat,,TR
1644,Serap,Ozturk,,TR
1648,Efe,Can,,TR
1649,Feyhan,Karakurum,,TR
1650,Eda,Aklan,,TR
1655,Hasan,Demir,,TR
1658,Kevser,Karaaslan,,TR
1659,Ugur,Ates,,TR
1662,Murside,Kacar,,TR
1666,Berke,Terci,,TR
1667,Bedia,Aksakalli,,TR
1670,Perihan,Aksoy,,TR
1671,Yigit,Gerikalan,,TR
1673,Mehmet,Uysal,,TR
1678,Pekcan,Caner,,TR
1679,Murat,Kara,,TR
1680,Zeynep,Gedik,,TR
1681,Opuda,Alnmr,,TR
1682,Mariam,Napireli,,TR
1685,Dervis,Cidik,,TR
1686,Berkin,Tekin,,TR
1687,Harun,Torun,,TR
1688,Ergun,Turgut,,TR
1689,Ali,Kaya,,TR
1690,Nejla,Vatansever,,TR
1691,Mert,Vatan,,TR
1692,Ismail,Yavuz,,TR
1702,Ali,Aras,,TR
1704,Adem,Bayram,,TR
1706,Sabriye,Selvi,,TR
1708,Serife,Picakci,,TR
1712,Nurhan,Karabulut,,TR
1715,Ebru,Ulga,,TR
1716,Asiye,Bayir,,TR
1724,Elif,Derse,,TR
1726,Mehmet,Demirhan,,TR
1730,Ekrem,Yildirim,,TR
1731,Muzaffer,Orhan,,TR
1733,Mohanad,Zabadane,,TR
1734,Ahmet,Kaya,,TR
1739,Dilek,Uzunparmak,,TR
1740,Ramez,Alrbbe,,TR
1742,Hatice,Mazektli,,TR
1745,Nato,Arveladze,,TR
1746,Hasan,Cingiz,,TR
1747,Ismail,Ersoy,,TR
1748,Nida,Turan,,TR
1750,Tuncay,Daltaban,,TR
1751,Nodirbek,Rahmonberdiyev,,TR
1755,Abidin,Bcr,,TR
1756,Kaan,Yakut,,TR
1758,Dildara,Babacanova,,TR
1759,Yusuf,Demirkaya,,TR
1760,Murat,Akbaba,,TR
1761,Hasan,Demir,,TR
1764,Aliye,Ipek,,TR
1771,Vedat,Avci,,TR
1772,Fatih,Durar,,TR
1776,Ayse,Saglam,,TR
1782,Sabri,Ekil,,TR
1783,Waris,Batur,,TR
1784,Gukmem,Olmez,,TR
1785,Emre,Turgut,,TR
1786,Necat,Necat,,TR
1789,Mert,Kaya,,TR
1790,Gececi,Berdus,,TR
1793,Kamil,Sari,,TR
1796,Ahmetefe,Erbil,,TR
1797,Turcana,Kesici,,TR
1803,Recep,Sonmez,,TR
1805,Adem,Aslan,,TR
1806,Fatma,Aydemir,,TR
1808,Muharrem,Zengin,,TR
1809,Hatice,Eren,,TR
1812,Adel,Burukba,,TR
1815,Tolga,Seyfi,,TR
1817,Taner,Aybi,,TR
1819,Sevil,Biricik,,TR
1820,Sudenur,Celtikcioglu,,TR
1821,Eren,Arslan,,TR
1823,Resit,Karahan,,TR
1825,Yusuf,Demirci,,TR
1836,Sophia,Styles,,TR
1842,Mehmet,Eraslan,,TR
1846,Melek,Kor,,TR
1848,Ramazan,Manay,,TR
1849,Tahsin,Ilan,,TR
1850,Gunay,Satilmis,,TR
1851,Adem,Yavuz,,TR
1853,Mustafa,Candemir,,TR
1854,Ismail,Aslan,,TR
1855,Fatih,Konca,,TR
1856,Mehmet,Bilgili,,TR
1858,Mrscorpio,Kll,,TR
1861,Yakup,Ceyhan,,TR
1862,Fatih,Bulak,,TR
1863,Topkara,Topkara,,TR
1865,Faruk,Dogan,,TR
1866,Serkan,Salman,,TR
1873,Nurettin,Atak,,TR
1874,Sunds,Saad,,TR
1876,Mani,Tagizadegan,,TR
1877,Mehmet,Arslanalp,,TR
1878,Asiya,Penj,,TR
1879,Ali,Aytak,,TR
1881,Fikri,Cevik,,TR
1882,Ozan,Demir,,TR
1883,Mehmet,Duman,,TR
1886,Aliosman,Krkyn,,TR
1889,Mert,Kemerci,,TR
1891,Salim,Vatansever,,TR
1894,Pelin,Demirkaya,,TR
1896,Mukadder,Mukadder,,TR
1902,Ifat,Alhariri,,TR
1904,Ceyda,Soylu,,TR
1906,Keemoo,Awad,,TR
1907,Hanife,Arslan,,TR
1911,Olgun,Adam,,TR
1913,Yeliz,Iz,,TR
1918,Sheshe,Han,,TR
1919,Birol,Uysan,,TR
1922,Ramiz,Gezer,,TR
1924,Emre,Aybar,,TR
1926,Mustafa,Polat,,TR
1927,Ejder,Inci,,TR
1929,Eyup,Kaya,,TR
1931,Husein,Farawati,,TR
1935,Fatma,Eker,,TR
1937,Serkan,Ince,,TR
1944,Bahar,Afyon,,TR
1945,Haci,Demir,,TR
1947,Husnu,Yilmaz,,TR
1950,Muzaffer,Karaman,,TR
1951,Ferhat,Maximilianus,,TR
1953,Yasin,Dilek,,TR
1954,Fatma,Yaman,,TR
